Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
1000,0.65,0.05,3,882.026357804411,0.5840199999999999
5000,0.65,0.05,3,884.0569245190555,0.5839399999999999
10000,0.65,0.05,3,890.8160238211827,0.5840879999999998
100,0.65,0.05,4,904.2923806771101,0.5977999999999999
500,0.65,0.05,4,897.4044300550001,0.5851199999999999
1000,0.65,0.05,4,897.1948097121932,0.5840199999999999
5000,0.65,0.05,4,899.2150007154263,0.5839399999999999
10000,0.65,0.05,4,905.9644826217434,0.5840879999999998
100,0.65,0.01,0,919.59506977509,0.5977999999999999
500,0.65,0.01,0,912.5885003744947,0.5851199999999999
1000,0.65,0.01,0,912.3654063222241,0.5840199999999999
5000,0.65,0.01,0,914.3692513723176,0.5839399999999999
10000,0.65,0.01,0,921.0955675184213,0.5840879999999998
100,0.65,0.01,1,934.8546284825601,0.5977999999999999
500,0.65,0.01,1,927.7261180973229,0.5851199999999999
1000,0.65,0.01,1,927.493001006636,0.5840199999999999
5000,0.65,0.01,1,929.491037148313,0.5839399999999999
10000,0.65,0.01,1,936.2350572121778,0.5840879999999998
100,0.65,0.01,2,950.1607428309699,0.5977999999999999
500,0.65,0.01,2,942.9106229273368,0.5851199999999999
1000,0.65,0.01,2,942.6565000032903,0.5840199999999999
5000,0.65,0.01,2,944.6426225071674,0.5839399999999999
10000,0.65,0.01,2,951.3962642937548,0.5840879999999998
100,0.65,0.01,3,965.4760477346799,0.5977999999999999
500,0.65,0.01,3,958.1038012463276,0.5851199999999999
1000,0.65,0.01,3,957.833950250972,0.5840199999999999
5000,0.65,0.01,3,959.8110263357565,0.5839399999999999
10000,0.65,0.01,3,966.5720842721665,0.5840879999999998
100,0.65,0.01,4,980.804009068,0.5977999999999999
500,0.65,0.01,4,973.3109941651666,0.5851199999999999
1000,0.65,0.01,4,973.0266704338723,0.5840199999999999
5000,0.65,0.01,4,974.9930413169786,0.5839399999999999
10000,0.65,0.01,4,981.7401472963242,0.5840879999999998
100,0.65,0.005,0,996.1210259288296,0.5977999999999999
500,0.65,0.005,0,988.5057076220824,0.5851199999999999
1000,0.65,0.005,0,988.205886016023,0.5840199999999999
5000,0.65,0.005,0,990.1534106730167,0.5839399999999999
10000,0.65,0.005,0,996.8998001617015,0.5840879999999998
100,0.65,0.005,1,1011.4252960113206,0.5977999999999999
500,0.65,0.005,1,1003.68952958276,0.5851199999999999
1000,0.65,0.005,1,1003.3743015087616,0.5840199999999999
5000,0.65,0.005,1,1005.311395389892,0.5839399999999999
10000,0.65,0.005,1,1012.0476607442793,0.5840879999999998
100,0.65,0.005,2,1026.72422439758,0.5977999999999999
500,0.65,0.005,2,1018.8648711889019,0.5851199999999999
1000,0.65,0.005,2,1018.5272272226565,0.5840199999999999
5000,0.65,0.005,2,1020.420521861152,0.5839399999999999
10000,0.65,0.005,2,1027.0888028325662,0.5840879999999998
100,0.65,0.005,3,1041.8932005692398,0.5977999999999999
500,0.65,0.005,3,1033.9163586599034,0.5851199999999999
1000,0.65,0.005,3,1033.5713377464542,0.5840199999999999
5000,0.65,0.005,3,1035.486353603111,0.5839399999999999
10000,0.65,0.005,3,1042.2322009824459,0.5840879999999998
100,0.65,0.005,4,1057.21526767717,0.5977999999999999
500,0.65,0.005,4,1049.115802875412,0.5851199999999999
1000,0.65,0.005,4,1048.754314886998,0.5840199999999999
5000,0.65,0.005,4,1050.652506117771,0.5839399999999999
10000,0.65,0.005,4,1057.382183564554,0.5840879999999998
100,0.65,0.001,0,1072.50567142255,0.5977999999999999
500,0.65,0.001,0,1064.2850271982359,0.5851199999999999
1000,0.65,0.001,0,1063.903192652476,0.5840199999999999
5000,0.65,0.001,0,1065.7654430722139,0.5839399999999999
10000,0.65,0.001,0,1072.4689247089852,0.5840879999999998
100,0.65,0.001,1,1087.74659641628,0.5977999999999999
500,0.65,0.001,1,1079.4068649859098,0.5851199999999999
1000,0.65,0.001,1,1079.016069460514,0.5840199999999999
5000,0.65,0.001,1,1080.8942949593968,0.5839399999999999
10000,0.65,0.001,1,1087.6434269276085,0.5840879999999998
100,0.65,0.001,2,1103.07647650881,0.5977999999999999
500,0.65,0.001,2,1094.6150688466867,0.5851199999999999
1000,0.65,0.001,2,1094.2092369980653,0.5840199999999999
5000,0.65,0.001,2,1096.0771008811946,0.5839399999999999
10000,0.65,0.001,2,1102.8117718886224,0.5840879999999998
100,0.65,0.001,3,1118.37999918673,0.5977999999999999
500,0.65,0.001,3,1109.7975131523347,0.5851199999999999
1000,0.65,0.001,3,1109.3748774243754,0.5840199999999999
5000,0.65,0.001,3,1111.228045764472,0.5839399999999999
10000,0.65,0.001,3,1117.9647285935723,0.5840879999999998
100,0.65,0.001,4,1133.6841666667603,0.5977999999999999
500,0.65,0.001,4,1124.9814443304322,0.5851199999999999
1000,0.65,0.001,4,1124.5453950309534,0.5840199999999999
5000,0.65,0.001,4,1126.3810451044892,0.5839399999999999
10000,0.65,0.001,4,1133.089741404731,0.5840879999999998
100,0.7,0.1,0,1148.94452197924,0.5977999999999999
500,0.7,0.1,0,1140.1183917475842,0.5851199999999999
1000,0.7,0.1,0,1139.665530210911,0.5840199999999999
5000,0.7,0.1,0,1141.4852385888112,0.5839399999999999
10000,0.7,0.1,0,1148.1962858076213,0.5840879999999998
100,0.7,0.1,1,1164.2112146092195,0.5977999999999999
500,0.7,0.1,1,1155.2639036922433,0.5851199999999999
1000,0.7,0.1,1,1154.7961537067663,0.5840199999999999
5000,0.7,0.1,1,1156.6190224239883,0.5839399999999999
10000,0.7,0.1,1,1163.394763917844,0.5840879999999998
100,0.7,0.1,2,1179.5805366496502,0.5977999999999999
500,0.7,0.1,2,1170.5118746442258,0.5851199999999999
1000,0.7,0.1,2,1170.029709211172,0.5840199999999999
