Episode,Gamma,Episode Length,Average time,Average reward
1000,0.7,80,704943.1714429816,-0.4059200000000003
5000,0.7,80,704382.4913439036,-0.2930840000000003
10000,0.7,80,704318.5613937142,-0.2484380000000003
15000,0.7,80,704305.3860282621,-0.15067200000000025
20000,0.7,80,704306.8628767842,-0.08470800000000021
25000,0.7,80,704315.8819828401,-0.040320800000000205
30000,0.7,80,704329.8984887548,0.010755333333333146
35000,0.7,80,704347.3448859546,0.055371428571428405
40000,0.7,80,704367.439711643,0.09423799999999985
45000,0.7,80,704390.0159752081,0.12340933333333319
50000,0.7,80,704414.6956546695,0.14793359999999986
1000,0.7,90,705116.5957229255,-0.5506400000000004
5000,0.7,90,704556.2488287041,-0.4191840000000004
10000,0.7,90,704493.0225280932,-0.2566140000000003
15000,0.7,90,704480.3469508291,-0.14967600000000025
20000,0.7,90,704482.2601605465,-0.08038500000000025
25000,0.7,90,704491.8037143067,-0.037514400000000225
30000,0.7,90,704506.5195220569,0.0113539999999998
35000,0.7,90,704525.0449872513,0.05564114285714267
40000,0.7,90,704547.0864716357,0.08925499999999982
45000,0.7,90,704571.4139052066,0.1181266666666665
50000,0.7,90,704597.9285386299,0.14122039999999986
1000,0.7,100,705300.9352042876,-0.9444800000000007
5000,0.7,100,704741.508447488,-0.6611040000000006
10000,0.7,100,704680.4923113935,-0.5023520000000005
15000,0.7,100,704671.5376891592,-0.4139026666666671
20000,0.7,100,704678.5761483621,-0.33028600000000036
25000,0.7,100,704694.1427319802,-0.25605040000000034
30000,0.7,100,704715.6135586684,-0.20370933333333366
35000,0.7,100,704741.2245456544,-0.15126971428571456
40000,0.7,100,704770.6521838428,-0.11020650000000028
45000,0.7,100,704803.3579334315,-0.07394000000000027
50000,0.7,100,704838.9484069172,-0.043532400000000256
1000,0.75,10,705545.5144540821,-0.039079999999999976
5000,0.75,10,704982.2931176997,-0.03179199999999999
10000,0.75,10,704913.4270555008,-0.017445999999999975
15000,0.75,10,704892.6323213971,-0.012011999999999976
20000,0.75,10,704884.6242865591,-0.007087999999999977
25000,0.75,10,704882.3607156494,-0.003153599999999977
30000,0.75,10,704883.5330225158,-0.0003346666666666446
35000,0.75,10,704887.081380223,-6.857142857140665e-05
40000,0.75,10,704892.5923861165,0.0002085000000000222
45000,0.75,10,704899.6904104227,0.0012746666666666891
50000,0.75,10,704908.2140837817,0.001443200000000022
1000,0.75,20,705604.5335442938,-0.10358000000000005
5000,0.75,20,705041.6685831296,-0.01191200000000004
10000,0.75,20,704973.7276080139,0.04201999999999996
15000,0.75,20,704954.3720775589,0.06613333333333331
20000,0.75,20,704948.3919357291,0.08128999999999996
25000,0.75,20,704948.6441050961,0.09725439999999995
30000,0.75,20,704952.7639653346,0.10717199999999996
35000,0.75,20,704959.9346680426,0.11494914285714282
40000,0.75,20,704969.6251773442,0.12281599999999998
45000,0.75,20,704981.1396483489,0.1296822222222222
50000,0.75,20,704994.5255158066,0.1353496
1000,0.75,30,705693.3850574106,-0.054500000000000076
5000,0.75,30,705130.6512736775,0.10162799999999994
10000,0.75,30,705063.1155611423,0.17919199999999993
15000,0.75,30,705044.3337654503,0.2162373333333333
20000,0.75,30,705038.961683061,0.23379199999999997
25000,0.75,30,705040.065382539,0.24558639999999993
30000,0.75,30,705045.3105207104,0.25263733333333327
35000,0.75,30,705053.5861838785,0.2589548571428571
40000,0.75,30,705064.3415757145,0.2660895
45000,0.75,30,705077.3869869735,0.2680822222222222
50000,0.75,30,705092.5827571675,0.2709724
1000,0.75,40,705792.5116777638,-0.3590400000000002
5000,0.75,40,705230.3534878928,-0.24555600000000016
10000,0.75,40,705164.3410323821,-0.14207400000000017
15000,0.75,40,705147.9254420783,-0.08373733333333348
20000,0.75,40,705145.7485082125,-0.035506000000000135
25000,0.75,40,705150.6783151824,-0.006392800000000134
30000,0.75,40,705160.2686848117,0.01389999999999987
35000,0.75,40,705173.4903898049,0.02890628571428559
40000,0.75,40,705190.0049315327,0.04672549999999988
45000,0.75,40,705209.2103241032,0.06513377777777767
50000,0.75,40,705230.9493070222,0.07963359999999989
1000,0.75,50,705933.7343757229,-0.42148000000000024
5000,0.75,50,705371.8147256777,-0.3270640000000002
10000,0.75,50,705306.5617042637,-0.19400000000000017
15000,0.75,50,705290.9646804276,-0.11336800000000015
20000,0.75,50,705289.376999839,-0.05940600000000013
25000,0.75,50,705294.6455218282,-0.022756000000000123
30000,0.75,50,705304.3574593342,0.00866866666666655
35000,0.75,50,705317.4103230892,0.03233942857142847
40000,0.75,50,705333.1974241646,0.0508894999999999
45000,0.75,50,705351.5676812943,0.0698488888888888
50000,0.75,50,705372.2281876705,0.08709199999999989
1000,0.75,60,706074.1534584295,-0.4675000000000003
5000,0.75,60,705512.2685642157,-0.2122720000000002
10000,0.75,60,705446.9624419316,-0.08031600000000018
