Episode,Gamma,Alpha,Epsilon,Average time,Average reward
2000,0.75,0.1,0.8,373892.5156461939,0.009999999999999743
5000,0.75,0.1,0.8,373783.68311860826,0.2671959999999998
8000,0.75,0.1,0.8,373761.19943732425,0.3151174999999997
9000,0.75,0.1,0.8,373763.09259154345,0.3381199999999998
10000,0.75,0.1,0.8,373766.61008738144,0.3569999999999998
100,0.75,0.1,0.85,377470.1643780041,-2.3087999999999997
500,0.75,0.1,0.85,374480.89683239395,-0.9566000000000004
1000,0.75,0.1,0.85,374108.2717843075,-0.23770000000000036
2000,0.75,0.1,0.85,373922.9245151819,0.16189999999999974
5000,0.75,0.1,0.85,373813.41454793274,0.4004159999999998
8000,0.75,0.1,0.85,373789.6596947404,0.46068749999999986
9000,0.75,0.1,0.85,373789.85948491306,0.47215999999999986
10000,0.75,0.1,0.85,373791.6496372769,0.48131799999999986
100,0.75,0.1,0.9,377494.75237548276,-2.1994000000000002
500,0.75,0.1,0.9,374505.28067878226,-0.9345600000000002
1000,0.75,0.1,0.9,374132.6604164613,-0.3137000000000002
2000,0.75,0.1,0.9,373947.6075231096,0.024999999999999745
5000,0.75,0.1,0.9,373838.8843186869,0.2294519999999997
8000,0.75,0.1,0.9,373816.63326055784,0.29103249999999975
9000,0.75,0.1,0.9,373818.579206288,0.29947777777777757
10000,0.75,0.1,0.9,373822.31494273414,0.3061359999999998
100,0.75,0.1,0.95,377526.827523529,-2.2906
500,0.75,0.1,0.95,374537.095011403,-0.9345200000000006
1000,0.75,0.1,0.95,374164.39027569344,-0.2660600000000004
2000,0.75,0.1,0.95,373979.062546113,0.1374399999999997
5000,0.75,0.1,0.95,373869.6266969131,0.38099199999999983
8000,0.75,0.1,0.95,373845.9658202879,0.4504749999999998
9000,0.75,0.1,0.95,373846.21972087934,0.4642244444444443
10000,0.75,0.1,0.95,373848.0601756517,0.47447599999999984
100,0.75,0.1,1.0,377551.73142462305,-2.520799999999999
500,0.75,0.1,1.0,374561.83700065705,-1.0678
1000,0.75,0.1,1.0,374189.14270967833,-0.30300000000000016
2000,0.75,0.1,1.0,374003.7738104869,0.12439999999999989
